customer_id,churn_probability,risk_decile,monetary_total,frequency,recency_days,acquisition_channel,loyalty_tier,expected_revenue_at_risk
CUST016105,0.8206,3,69758.5,9.0,130.0,Referral,Gold,57243.83
CUST019542,0.9485,2,55902.68,6.0,158.0,Direct,Silver,53023.69
CUST019363,0.9246,2,46082.08,8.0,191.0,Referral,Bronze,42607.49
CUST003130,0.8377,3,50599.34,8.0,127.0,Paid Social,Bronze,42387.07
CUST019048,0.957,2,41772.0,5.0,182.0,Referral,Silver,39975.8
CUST012423,0.894,3,42560.73,7.0,171.0,Marketplace,Silver,38049.29
CUST005557,0.9846,1,38382.8,3.0,310.0,Referral,Bronze,37791.7
CUST018937,0.9705,1,37854.75,5.0,296.0,Referral,Platinum,36738.03
CUST006641,0.8951,3,39472.22,10.0,107.0,Organic Search,Bronze,35331.58
CUST001792,0.9433,2,36330.29,10.0,184.0,Direct,Silver,34270.36
CUST002569,0.9059,3,36909.399999999994,8.0,212.0,Email Campaign,Gold,33436.23
CUST004018,0.8767,3,36993.76,8.0,116.0,Influencer,Silver,32432.43
CUST008141,0.8993,3,35146.56,7.0,124.0,Direct,Bronze,31607.3
CUST011320,0.9093,2,33954.83,4.0,152.0,,Bronze,30875.13
CUST002254,0.7866,3,38512.5,9.0,83.0,Marketplace,Silver,30293.93
CUST005949,0.9295,2,31633.38,7.0,176.0,Organic Search,,29403.23
CUST009797,0.966,1,30360.3,6.0,242.0,Organic Search,Bronze,29328.05
CUST006715,0.9603,2,30472.68,6.0,198.0,Email Campaign,Bronze,29262.91
CUST013997,0.8131,3,35646.44,8.0,65.0,Organic Search,Silver,28984.12
CUST006978,0.9688,1,29877.39,3.0,293.0,,Bronze,28945.22
CUST017190,0.7766,3,36924.24,8.0,94.0,Email Campaign,Bronze,28675.36
CUST004994,0.9099,2,30819.82,6.0,127.0,Direct,Bronze,28042.95
CUST016791,0.8128,3,34341.509999999995,6.0,81.0,Marketplace,Silver,27912.78
CUST006308,0.9703,1,28701.02,4.0,265.0,Organic Search,Gold,27848.6
CUST013515,0.9234,2,29548.47,4.0,119.0,Paid Social,Gold,27285.06
CUST005070,0.8825,3,30635.420000000002,5.0,160.0,Referral,Bronze,27035.76
CUST015448,0.7366,3,36643.08,9.0,45.0,Marketplace,Platinum,26991.29
CUST007111,0.9026,3,29406.85,6.0,107.0,Referral,Bronze,26542.62
CUST012895,0.9343,2,27986.07,4.0,166.0,Organic Search,Bronze,26147.39
CUST006189,0.7703,3,33712.79,5.0,58.0,Paid Social,Silver,25968.96
CUST013676,0.8175,3,31507.55,5.0,71.0,Referral,Platinum,25757.42
CUST009725,0.8083,3,31819.309999999998,3.0,108.0,Organic Search,Gold,25719.55
CUST004599,0.964,1,26524.07,2.0,184.0,,Bronze,25569.2
CUST019140,0.9421,2,27008.95,5.0,185.0,Organic Search,Silver,25445.13
CUST012937,0.7949,3,31984.62,9.0,65.0,Organic Search,Bronze,25424.57
CUST015655,0.9744,1,26080.35,5.0,249.0,Direct,Bronze,25412.69
CUST008563,0.8775,3,28590.89,6.0,100.0,Email Campaign,Bronze,25088.51
CUST014881,0.8826,3,28217.14,3.0,143.0,Paid Social,Bronze,24904.45
CUST001136,0.8991,3,27531.65,11.0,164.0,Paid Social,Platinum,24753.71
CUST007739,0.9629,1,25691.86,3.0,217.0,Direct,Gold,24738.69
CUST005705,0.9115,2,26535.49,4.0,93.0,Paid Social,Silver,24187.1
CUST002314,0.8185,3,29262.79,8.0,86.0,Paid Social,Gold,23951.59
CUST014074,0.8496,3,28188.7,7.0,139.0,Organic Search,Silver,23949.12
CUST000865,0.8087,3,29239.2,6.0,115.0,Direct,Bronze,23645.74
CUST003615,0.742,3,31765.77,6.0,53.0,Email Campaign,Platinum,23570.2
CUST015240,0.9599,2,24034.3,7.0,339.0,Direct,Silver,23070.52
CUST015817,0.8447,3,27192.61,4.0,95.0,Direct,Platinum,22969.6
CUST000136,0.8167,3,28025.83,5.0,121.0,Referral,,22888.7
CUST010394,0.8942,3,25045.9,9.0,191.0,Influencer,Platinum,22396.04
CUST004751,0.7568,3,29525.65,9.0,126.0,Organic Search,,22345.01
CUST010285,0.9622,1,23149.43,5.0,189.0,Influencer,Bronze,22274.38
CUST015237,0.9615,2,23027.879999999997,4.0,266.0,Organic Search,Bronze,22141.31
CUST006037,0.9871,1,21913.989999999998,3.0,267.0,Paid Social,Bronze,21631.3
CUST014048,0.9772,1,21998.36,5.0,236.0,Email Campaign,Bronze,21496.8
CUST013080,0.9624,1,22286.62,6.0,221.0,,Silver,21448.64
CUST013241,0.8683,3,24516.6,5.0,123.0,Marketplace,Bronze,21287.76
CUST001732,0.9572,2,22085.21,10.0,200.0,Influencer,Bronze,21139.96
CUST018079,0.8009,3,26116.24,7.0,151.0,Organic Search,Gold,20916.5
CUST016788,0.3906,7,53257.72,6.0,44.0,Influencer,Bronze,20802.47
CUST006658,0.683,4,30419.85,12.0,89.0,Direct,Bronze,20776.76
CUST002269,0.9727,1,21281.35,3.0,264.0,Paid Social,Silver,20700.37
CUST015349,0.8691,3,23668.79,11.0,180.0,Referral,,20570.55
CUST018117,0.9867,1,20704.52,4.0,322.0,Email Campaign,Bronze,20429.15
CUST004445,0.9758,1,20895.83,4.0,341.0,Organic Search,Silver,20390.15
CUST008092,0.9398,2,21497.280000000002,4.0,227.0,Paid Social,Silver,20203.14
CUST013907,0.9819,1,20499.670000000002,5.0,342.0,Influencer,Silver,20128.63
CUST016648,0.988,1,20346.82,3.0,331.0,Organic Search,Silver,20102.66
CUST004929,0.9051,3,22069.89,5.0,188.0,Influencer,Silver,19975.46
CUST014599,0.7258,4,26719.260000000002,6.0,54.0,Marketplace,,19392.84
CUST007792,0.9398,2,20597.980000000003,6.0,227.0,Organic Search,Silver,19357.98
CUST019464,0.9347,2,20411.53,3.0,172.0,Organic Search,,19078.66
CUST008383,0.9131,2,20646.04,5.0,388.0,Organic Search,Bronze,18851.9
CUST012443,0.8618,3,21686.199999999997,7.0,100.0,Direct,Bronze,18689.17
CUST011576,0.7327,3,25472.8,8.0,96.0,,Bronze,18663.92
CUST012497,0.8793,3,20888.05,5.0,103.0,Paid Social,Bronze,18366.86
CUST004999,0.9299,2,19607.87,5.0,160.0,Organic Search,Bronze,18233.36
CUST900287,0.9374,2,19356.29,5.0,156.0,Referral,Platinum,18144.59
