,permutation_importance
last_event_days_ago,0.02652745409390165
events_last30,0.016308024920768195
sessions_last30,0.015112542992751176
signup_to_first_order_days,0.007909769458415905
tenure_days,0.007567041600800395
n_sessions,0.007481664554419365
active_days,0.007416412097542335
sessions_per_active_day,0.006934438342852967
n_product_view,0.0067856383477316925
n_events,0.006752707201270391
total_orders_incl_cancelled,0.006710221956761742
n_search,0.0067061563831245065
bounce_rate,0.006703310481578484
annual_income_ghs,0.006689080973848327
revenue_per_tenure_day,0.006622608844880173
dwell_median,0.006618949828606713
n_purchase,0.006609599009241162
discount_value,0.00658398589532685
view_to_purchase_rate,0.006582766223235703
avg_units_per_order,0.006553290814365997
n_page_view,0.0065475990112739526
acquisition_channel,0.006533572782225638
monetary_total,0.006516497372949392
monetary_cv,0.006514058028767145
delivery_days_mean,0.006483972783851844
mobile_event_share,0.006477874423396024
n_wishlist_add,0.00647421540712263
dwell_mean,0.006473402292395148
shipping_paid,0.00646039245675607
avg_lines_per_order,0.006450431801345036
first_order_days_ago,0.00644900885057198
total_margin,0.006416484261474476
return_rate,0.006416077704110723
delivery_days_max,0.006381520328194568
is_single_purchase,0.00637542196773877
monetary_std,0.006375218689056883
household_size,0.006373185902238299
cancel_rate,0.006373185902238299
email_subscribed,0.006371966230147086
interpurchase_std,0.006370136722010389
cart_abandon_rate,0.006369120328601085
cart_removal_rate,0.006338221968958368
promo_order_share,0.006323992461228256
orders_per_active_month,0.006320740002318459
interpurchase_mean,0.00631586131395383
avg_discount_pct,0.006315454756590166
wishlist_per_view,0.006308746560088774
checkout_dropoff_rate,0.006304477707769651
loyalty_tier,0.006292687544221876
min_rating_given,0.006288012134539067
cart_to_purchase_rate,0.006281507216719584
distinct_traffic_sources,0.006278051479127922
monetary_mean,0.006277238364400528
favourite_category,0.006272156397354012
n_remove_from_cart,0.006271749839990304
avg_rating_given,0.006268294102398686
interpurchase_max,0.00625386131598662
n_reviews,0.006249185906303878
avg_helpful_votes,0.006240038365620215
gender,0.006233940005164418
recency_vs_cadence,0.006231907218345834
distinct_devices,0.00622113344820725
avg_unit_price,0.006203244924203544
monetary_max,0.006192471154065049
margin_rate,0.0061877957443822185
order_hour_mean,0.006183933449426892
evening_order_share,0.006178444925016668
distinct_products,0.006178241646334848
preferred_device,0.006170313777742331
discount_dependency,0.006158320335512557
age,0.006155880991330243
avg_order_value,0.006150392466920085
region,0.006146733450646558
distinct_categories,0.0061337236150075915
gross_value,0.006128641647961075
momo_share,0.00611298918945784
last90_orders,0.006111769517366761
n_add_to_cart,0.006109330173184357
weekend_order_share,0.0061060777142746495
events_per_session,0.0061060777142746495
category_concentration,0.006104858042183481
max_unit_price,0.006094084272044919
last30_revenue,0.0060867662394979314
n_checkout_start,0.006083310501906336
distinct_payment_methods,0.006056071158537191
total_units,0.006051192470172495
active_months,0.006042451486852607
search_share,0.005982484275703981
last30_orders,0.005978215423384859
frequency,0.005932274441284547
prior90_revenue,0.005931867883920905
revenue_trend_ratio,0.005924549851373961
spend_per_session,0.005887959688639177
view_to_cart_rate,0.005778595757798622
last180_orders,0.005610077730536922
last180_revenue,0.005607435107672765
last90_revenue,0.005314917084476689
recency_days,0.00478822201977811
