month,revenue,orders,customers,aov
2025-01-01,2138697.15,1228,1095,1741.6100570032572
2025-02-01,2487509.7399999998,1421,1218,1750.5346516537647
2025-03-01,3148195.47,1858,1532,1694.4001453175458
2025-04-01,3129398.24,1916,1616,1633.2976200417538
2025-05-01,3726337.9,2136,1766,1744.5402153558052
2025-06-01,3731881.54,2230,1837,1673.4894798206278
2025-07-01,4222388.68,2585,2144,1633.4192185686652
2025-08-01,4647522.26,2650,2170,1753.7819849056602
2025-09-01,5360908.42,3150,2504,1701.8756888888888
2025-10-01,4959837.6,2954,2414,1679.0242383209206
2025-11-01,7502845.5,4357,3323,1722.0210006885472
2025-12-01,8689021.73,5022,3720,1730.1915033851055
2026-01-01,5359148.27,2971,2458,1803.8196802423424
2026-02-01,6252238.49,3488,2805,1792.499567087156
2026-03-01,7064615.31,4065,3183,1737.9127453874537
2026-04-01,7513421.15,4374,3371,1717.7460333790582
2026-05-01,7472447.93,4295,3293,1739.8016135040743
2026-06-01,7078879.33,4090,3178,1730.7773422982884
