product_id,unit_price_ghs,cost_price_ghs,stock_quantity,avg_rating,product_name,category,subcategory,brand,launch_date,is_active
PRD00001,218.28,165.37,730.0,4.07,Kasapreko Household 638,Groceries,Household,Dell,2023-02-09,True
PRD00002,173.95,44.68,178.0,4.04,Lenovo Women's Clothing 414,Fashion,Women'S Clothing,Infinix,2023-11-03,True
PRD00003,54.67,46.11,138.0,4.99,Puma Diaper 189,Baby Products,Diapers,Generic,2022-08-03,True
PRD00004,389.43,,157.0,4.53,Nivea Haircare 252,Health & Beauty,Haircare,Kasapreko,2022-06-27,True
PRD00005,479.93,373.51,495.0,3.46,itel Power Bank 443,Phones & Tablets,Power Banks,Infinix,2022-11-16,False
PRD00006,179.12,113.41,403.0,3.74,Apple Fiction 198,Books & Stationery,Fiction,GTP,2024-05-20,True
PRD00007,14.68,10.65,216.0,4.03,HP Pantry 408,Groceries,,Dell,2022-11-03,True
PRD00008,12.55,9.23,332.0,3.12,Midea Beverage 730,Groceries,Beverages,Hisense,2022-05-31,True
PRD00009,2025.83,1257.45,898.0,2.54,Adidas Laptop 121,Computing,Laptops,Puma,2023-02-16,True
PRD00010,457.25,332.83,14.0,2.88,Adidas Bag 783,Fashion,Bags,Tecno,2022-11-12,True
PRD00011,221.45,154.52,97.0,3.52,Dell Women's Clothing 677,Fashion,Women'S Clothing,GTP,2022-01-09,True
PRD00012,2443.42,1446.36,282.0,4.18,GTP Gym Equipment 206,Sports & Fitness,Gym Equipment,Puma,2024-07-09,True
PRD00013,478.76,366.86,266.0,4.27,Unilever Supplement 994,Health & Beauty,Supplements,Nivea,2023-02-25,True
PRD00014,663.52,495.68,613.0,3.65,Tecno Toy 153,Baby Products,,GTP,2024-12-29,True
PRD00015,82.67,47.83,609.0,3.42,GTP Men's Clothing 791,Fashion,Men'S Clothing,Infinix,2024-02-07,True
PRD00016,7721.71,6120.87,389.0,,Midea Small Appliance 104,Electronics,Small Appliances,Lenovo,2022-01-13,True
PRD00017,162.13,97.99,3.0,4.62,Woodin Bedding 856,Home & Kitchen,Bedding,Nasco,2022-12-19,True
PRD00018,379.54,269.0,80.0,3.98,Samsung Power Bank 755,Phones & Tablets,Power Banks,GTP,2022-09-10,True
PRD00019,40.14,32.73,431.0,3.27,HP Diaper 607,Baby Products,Diapers,Dell,2023-09-11,True
PRD00020,563.5,419.3,831.0,4.92,Kasapreko Fragrance 686,Health & Beauty,Fragrance,Dell,2024-04-09,True
PRD00021,11.2,8.13,166.0,4.8,Fan Milk Beverage 217,Groceries,Beverages,Nasco,2024-06-24,True
PRD00022,666.73,410.11,246.0,4.03,Woodin Men's Clothing 672,Fashion,Men'S Clothing,Midea,2023-03-12,True
PRD00023,44.07,35.51,359.0,3.63,Adidas Textbook 462,Books & Stationery,Textbooks,GTP,2023-02-06,True
PRD00024,957.06,775.59,765.0,2.76,Nestle Supplement 453,Sports & Fitness,Supplements,Adidas,2023-02-26,True
PRD00025,158.4,123.41,683.0,4.04,Tecno Snack 188,Groceries,Snacks,Unilever,2023-05-21,True
PRD00026,4405.77,3235.58,474.0,3.24,Adidas Laptop 150,Computing,Laptops,Puma,2024-06-09,True
PRD00027,89.12,74.96,452.0,3.98,Fan Milk Men's Clothing 987,Fashion,Men'S Clothing,Midea,2024-01-28,True
PRD00028,3026.68,1751.42,662.0,3.84,Dell Power Bank 817,Phones & Tablets,,Midea,2022-09-03,True
PRD00029,5638.08,3174.2,826.0,5.0,itel Storage 107,Computing,Storage,Fan Milk,2022-07-21,True
PRD00030,86.17,47.77,371.0,4.05,Nestle Haircare 299,Health & Beauty,Haircare,Tecno,2023-03-16,True
PRD00031,29.87,16.63,271.0,,Woodin Snack 531,Groceries,Snacks,Puma,2022-08-28,True
PRD00032,113.48,68.8,198.0,3.49,Unilever Textbook 952,Books & Stationery,Textbooks,Samsung,2023-08-19,True
PRD00033,41.87,32.03,27.0,3.97,Apple Footwear 835,Fashion,Footwear,Puma,2022-09-29,True
PRD00034,399.29,317.43,671.0,4.15,Tecno Bag 571,Fashion,Bags,Puma,2024-05-01,True
PRD00035,439.52,351.14,24.0,3.43,Nivea Footwear 815,Fashion,Footwear,Nasco,2023-10-11,True
PRD00036,2025.83,3288.27,404.0,4.19,Nestle Laptop 192,Computing,Laptops,Lenovo,2024-08-19,True
PRD00037,5992.35,4582.01,126.0,3.49,Puma Laptop 973,Computing,Laptops,Unilever,2024-08-13,True
PRD00038,102.91,84.82,81.0,3.28,Adidas Footwear 361,Fashion,Footwear,Nasco,2024-08-08,False
PRD00039,165.21,138.16,522.0,,Generic Television 574,Electronics,Televisions,GTP,2022-10-16,True
PRD00040,158.11,111.89,402.0,4.55,Puma Haircare 943,Health & Beauty,Haircare,Kasapreko,2023-10-03,True
PRD00041,464.91,369.12,221.0,4.33,itel Men's Clothing 479,Fashion,Men'S Clothing,itel,2022-09-24,True
PRD00042,471.03,402.42,276.0,4.54,Kasapreko Baby Care 892,Baby Products,Baby Care,Woodin,2024-05-19,True
PRD00043,44.54,30.83,498.0,4.99,Adidas Fragrance 323,Health & Beauty,Fragrance,Hisense,2023-12-25,True
PRD00044,54.27,35.34,614.0,3.47,Nestle Men's Clothing 655,Fashion,Men'S Clothing,Kasapreko,2023-04-27,True
PRD00045,27.54,22.21,668.0,3.8,Dell Diaper 397,Baby Products,Diapers,Lenovo,2022-07-01,True
PRD00046,44.6,30.13,442.0,4.17,Lenovo Household 748,Groceries,Household,Adidas,2022-03-16,True
PRD00047,44.2,31.37,829.0,4.43,Fan Milk Bag 701,Fashion,Bags,Apple,2023-06-15,True
PRD00048,839.54,688.68,85.0,4.05,Generic Small Appliance 482,Electronics,Small Appliances,Nasco,2024-07-27,True
PRD00049,224.46,195.14,138.0,3.74,Woodin Haircare 293,Health & Beauty,Haircare,Nivea,2022-01-24,True
PRD00050,999.48,667.94,683.0,2.99,Nestle Monitor 376,Computing,Monitors,Dell,2024-02-18,True
PRD00051,4880.09,2926.05,201.0,4.2,Apple Storage 423,Computing,Storage,Generic,2022-07-29,True
PRD00052,1562.865,802.71,474.0,3.91,Midea Phone Accessorie 107,Phones & Tablets,Phone Accessories,Generic,2024-09-03,True
PRD00053,16.14,11.39,272.0,4.52,Adidas Pantry 700,Groceries,Pantry,GTP,2024-04-29,True
PRD00054,424.35,261.62,288.0,4.28,Generic Haircare 963,Health & Beauty,Haircare,Midea,2024-11-21,True
PRD00055,157.06,117.05,300.0,3.73,Apple Skincare 710,Health & Beauty,Skincare,Fan Milk,2022-07-28,True
PRD00056,149.45,109.51,683.0,3.43,itel Pantry 150,Groceries,Pantry,Nasco,2024-09-08,False
PRD00057,62.18,41.26,58.0,,Hisense Bag 901,Fashion,Bags,Midea,2022-12-08,True
PRD00058,1657.89,1373.92,400.0,3.45,Samsung Cleaning 566,Home & Kitchen,Cleaning,Unilever,2024-04-25,False
PRD00059,8088.07,7088.1,813.0,3.85,Woodin Monitor 592,Computing,Monitors,itel,2023-03-20,True
PRD00060,1919.97,1230.34,857.0,3.04,Nasco Power Bank 276,Phones & Tablets,Power Banks,Unilever,2022-02-11,True
PRD00061,56.53,45.56,316.0,3.8,Apple Supplement 759,Health & Beauty,Supplements,Samsung,2024-09-08,False
PRD00062,283.29,192.23,729.0,4.35,Lenovo Women's Clothing 667,Fashion,Women'S Clothing,Woodin,2023-06-07,True
PRD00063,493.09,393.96,201.0,3.2,Lenovo Cleaning 260,Home & Kitchen,Cleaning,Samsung,2022-05-26,True
PRD00064,136.61,78.49,836.0,3.98,itel Beverage 491,Groceries,Beverages,Nasco,2023-03-04,True
PRD00065,15.68,9.85,815.0,3.62,Adidas Fragrance 743,Health & Beauty,Fragrance,Generic,2024-05-31,True
PRD00066,1666.08,1128.66,375.0,4.61,Tecno Cleaning 943,Home & Kitchen,Cleaning,Unilever,2023-07-22,True
PRD00067,36.22,23.15,425.0,,Fan Milk Bedding 264,Home & Kitchen,Bedding,GTP,2023-06-05,True
PRD00068,2843.38,2155.95,197.0,,Generic Small Appliance 972,Electronics,Small Appliances,itel,2023-11-14,True
PRD00069,389.53,232.29,766.0,3.68,Fan Milk Phone Accessorie 690,Phones & Tablets,Phone Accessories,HP,2024-05-27,True
PRD00070,80.86,52.67,135.0,3.06,Adidas Women's Clothing 678,Fashion,Women'S Clothing,Generic,2023-05-16,True
PRD00071,175.45999999999998,118.03,256.0,3.07,HP Small Appliance 778,Electronics,Small Appliances,Fan Milk,2024-07-31,True
PRD00072,540.09,395.72,585.0,3.73,Apple Footwear 820,Fashion,Footwear,Generic,2024-03-31,True
PRD00073,33.72,27.97,42.0,4.18,Apple Toy 268,Baby Products,Toys,Kasapreko,2024-08-09,True
PRD00074,717.99,508.18,28.0,4.98,Lenovo Television 341,Electronics,Televisions,Midea,2023-09-21,True
PRD00075,265.79,232.69,410.0,,Nestle Tablet 506,Phones & Tablets,Tablets,Midea,2023-12-29,True
PRD00076,1185.2,810.84,463.0,3.63,HP Television 230,Electronics,Televisions,Samsung,2023-02-06,True
PRD00077,3788.14,2005.09,541.0,4.1,Infinix Camera 391,Electronics,Cameras,Samsung,2022-01-20,True
PRD00078,154.58,88.63,38.0,3.68,Woodin Supplement 983,Health & Beauty,Supplements,Generic,2022-10-14,True
PRD00079,131.72,72.98,407.0,4.7,itel Bedding 270,Home & Kitchen,Bedding,Samsung,2024-10-08,True
PRD00080,231.8,167.66,46.0,4.92,Apple Beverage 116,Groceries,Beverages,Infinix,2024-05-18,True
PRD00081,20.96,15.51,452.0,3.62,Apple Supplement 107,Health & Beauty,Supplements,Adidas,2022-10-21,True
PRD00082,570.37,417.55,769.0,4.16,Apple Bag 215,Fashion,Bags,Midea,2023-10-05,True
PRD00083,39.79,31.06,352.0,4.46,Generic Baby Care 279,Baby Products,Baby Care,Samsung,2023-10-16,True
PRD00084,3615.86,2867.57,313.0,5.0,itel Monitor 555,Computing,Monitors,HP,2023-10-19,True
PRD00085,1077.13,2648.45,810.0,3.43,HP Phone Accessorie 338,Phones & Tablets,Phone Accessories,Nasco,2024-11-16,False
PRD00086,280.75,224.97,117.0,4.37,Apple Phone Accessorie 709,Phones & Tablets,Phone Accessories,Fan Milk,2023-12-20,True
PRD00087,92.25,59.46,307.0,4.2,Unilever Beverage 715,Groceries,Beverages,Generic,2023-07-14,True
PRD00088,62.37,42.27,834.0,3.94,Nivea Bag 412,Fashion,Bags,Samsung,2024-10-13,False
PRD00089,727.8,574.68,251.0,3.34,Infinix Storage 841,Computing,Storage,Samsung,2023-12-11,True
PRD00090,133.5,103.03,22.0,3.42,Dell Furniture 393,Home & Kitchen,Furniture,Tecno,2023-03-09,True
PRD00091,9218.83,6578.63,283.0,4.31,Generic Printer 818,Computing,Printers,Nivea,2022-03-12,True
PRD00092,408.08,300.62,725.0,4.53,GTP Fragrance 209,Health & Beauty,Fragrance,Woodin,2022-11-08,True
PRD00093,883.41,552.9,0.0,4.47,Tecno Women's Clothing 132,Fashion,Women'S Clothing,Tecno,2024-03-03,True
PRD00094,247.5,147.82,248.0,4.26,Woodin Footwear 412,Fashion,Footwear,Infinix,2022-09-27,False
PRD00095,377.11,282.98,791.0,4.11,Lenovo Camera 864,Electronics,Cameras,Dell,2024-11-09,True
PRD00096,50.26,35.89,231.0,4.03,Dell Supplement 146,Health & Beauty,Supplements,Dell,2023-08-06,True
PRD00097,219.75,163.4,231.0,5.0,HP Bag 534,Fashion,Bags,GTP,2022-02-05,True
PRD00098,3637.38,3030.32,152.0,4.23,Generic Tablet 932,Phones & Tablets,Tablets,Nivea,2023-04-28,True
PRD00099,5049.56,4251.67,648.0,3.67,Midea Tablet 417,Phones & Tablets,Tablets,Nivea,2023-11-07,True
PRD00100,12.83,9.12,596.0,3.58,GTP Textbook 365,Books & Stationery,Textbooks,Midea,2024-10-17,True
PRD00101,68.29,52.81,646.0,3.64,Puma Sportswear 208,Sports & Fitness,Sportswear,Unilever,2024-01-01,True
PRD00102,599.48,437.46,434.0,4.38,Infinix Fragrance 382,Health & Beauty,Fragrance,Puma,2024-03-25,True
PRD00103,6642.0,3768.19,319.0,3.46,Infinix Small Appliance 409,Electronics,Small Appliances,Hisense,2024-01-09,True
PRD00104,274.95,218.97,0.0,4.38,itel Fiction 529,Books & Stationery,Fiction,Kasapreko,2023-02-28,True
PRD00105,76.37,64.84,673.0,4.06,HP Beverage 818,Groceries,Beverages,Adidas,2022-04-30,True
PRD00106,28.43,19.98,54.0,3.5,Hisense Household 520,Groceries,Household,Hisense,2022-06-27,True
PRD00107,66.35,52.65,349.0,3.6,Dell Footwear 376,Fashion,Footwear,Nestle,2024-01-05,True
