review_id,order_id,customer_id,product_id,review_timestamp,rating,review_title,review_text,helpful_votes,verified_purchase
REV0018457,ORD0021590,CUST006978,PRD00603,2025-03-05 22:38:32,4.0,Exactly what I wanted,Stopped working after two weeks of use.,2.0,True
REV0005283,ORD0001789,CUST000563,PRD00596,2025-10-21 19:08:13,5.0,Poor packaging,Rider was polite and the package was sealed.,0.0,True
REV0004526,ORD0057105,CUST018492,PRD01472,2026-02-03 13:39:52,5.0,Damaged on arrival,Packaging was torn but the item is fine.,0.0,True
REV0017372,ORD0059434,CUST019279,PRD00612,2025-12-15 12:55:40,5.0,Value for money,"Good value, I have ordered a second one.",1.0,True
REV0009241,ORD0027659,CUST008942,PRD01060,2025-12-09 06:41:11,4.0,,Quality is decent for the price paid.,1.0,True
REV0001839,ORD0027785,CUST008970,PRD00693,2026-03-22 14:22:40,3.0,Average,"Good value, I have ordered a second one.",1.0,True
REV0009048,ORD0052686,CUST017078,PRD00090,2025-11-10 19:13:26,3.0,Exactly what I wanted,Packaging was torn but the item is fine.,0.0,True
REV0012539,ORD0016164,CUST005211,PRD00567,2025-12-16 22:02:21,,Delivery was slow,Customer service resolved my issue quickly.,2.0,True
REV0014624,ORD0031906,CUST010318,PRD00593,2025-12-28 20:58:50,4.0,Fast delivery,Customer service resolved my issue quickly.,3.0,True
REV0018510,ORD0047817,CUST015453,PRD00501,,3.0,Delivery was slow,Item arrived later than the estimated date.,3.0,True
REV0012466,ORD0033536,CUST010877,PRD01198,2025-12-03 08:59:27,4.0,Exactly what I wanted,Packaging was torn but the item is fine.,1.0,True
REV0007768,ORD0007199,CUST002314,PRD00848,2025-09-21 19:08:49,3.0,Exactly what I wanted,Rider was polite and the package was sealed.,0.0,True
REV0012882,ORD0034772,CUST011311,PRD01482,2026-07-12 10:06:07,4.0,Damaged on arrival,"Product works as expected, no complaints so far.",2.0,True
REV0003296,ORD0020426,CUST005170,PRD01267,2025-09-24 13:18:21,4.0,Highly recommend,,3.0,True
REV0005810,ORD0055144,CUST017874,PRD00884,2025-12-22 19:34:09,2.0,Excellent quality,Customer service resolved my issue quickly.,2.0,True
REV0004848,ORD0037714,CUST012301,PRD01053,2025-07-25 07:41:53,4.0,Exactly what I wanted,Colour is slightly different from the pictures.,3.0,True
REV0005023,ORD0003219,CUST001023,PRD01137,2025-09-26 12:26:39,3.0,Very good,Stopped working after two weeks of use.,2.0,True
REV0018214,ORD0046834,CUST015145,PRD01255,2026-06-10 19:41:42,3.0,Highly recommend,Stopped working after two weeks of use.,1.0,True
REV0013467,ORD0017601,CUST005690,PRD00131,2025-02-17 10:32:52,4.0,,Quality is decent for the price paid.,2.0,True
REV0009103,ORD0040091,CUST013023,PRD00351,2026-01-19 00:41:01,4.0,Exactly what I wanted,"Good value, I have ordered a second one.",4.0,True
REV0012718,ORD0007811,CUST002504,PRD00743,2025-03-19 07:08:49,4.0,Value for money,Setup was straightforward and it works well.,3.0,True
REV0007970,ORD0044169,CUST011891,PRD01221,2025-09-19 18:45:20,5.0,,Setup was straightforward and it works well.,1.0,True
REV0009631,ORD0040186,CUST013065,PRD00750,2025-09-03 20:47:10,5.0,Excellent quality,Setup was straightforward and it works well.,4.0,True
REV0009741,ORD0025214,CUST008160,PRD00257,2025-05-20 08:26:19,5.0,Would buy again,Setup was straightforward and it works well.,2.0,True
REV0008929,ORD0004649,CUST001500,PRD00676,2026-06-29 17:56:15,4.0,Very good,Colour is slightly different from the pictures.,2.0,True
REV0016608,ORD0049899,CUST016144,PRD00946,2026-07-02 19:16:22,4.0,Not as described,Customer service resolved my issue quickly.,5.0,True
REV0002280,ORD0018204,CUST005887,PRD01450,2026-06-08 11:47:19,3.0,Value for money,Stopped working after two weeks of use.,1.0,True
REV0007947,ORD0024174,CUST007826,PRD00112,2026-02-12 09:17:05,4.0,Average,Stopped working after two weeks of use.,2.0,True
REV0007699,ORD0029200,CUST009421,PRD00213,2025-11-14 19:09:43,4.0,Delivery was slow,"Good value, I have ordered a second one.",2.0,True
REV0016059,ORD0014094,CUST004546,PRD01119,2025-06-18 15:14:44,5.0,Very good,Item arrived later than the estimated date.,0.0,True
REV0013746,ORD0039425,CUST012818,PRD01333,2025-10-30 07:38:14,4.0,Very good,,0.0,True
REV0014631,ORD0060915,CUST019742,PRD01435,2025-09-03 21:22:10,3.0,Exactly what I wanted,Rider was polite and the package was sealed.,0.0,True
REV0007477,ORD0013460,CUST004356,PRD00949,2025-10-01 19:42:33,3.0,Highly recommend,Rider was polite and the package was sealed.,1.0,True
REV0006736,ORD0023298,CUST007536,PRD00539,2025-11-12 11:53:47,2.0,,Rider was polite and the package was sealed.,2.0,True
REV0003044,ORD0007291,CUST002338,PRD00646,2025-08-01 08:29:31,3.0,Value for money,Rider was polite and the package was sealed.,0.0,True
REV0014797,ORD0015523,CUST004999,PRD00398,2025-11-07 14:49:24,4.0,Damaged on arrival,Quality is decent for the price paid.,1.0,True
REV0013739,ORD0019839,CUST006465,PRD00870,2025-09-06 11:04:55,5.0,Poor packaging,Customer service resolved my issue quickly.,3.0,True
REV0013958,ORD0035340,CUST011478,PRD01304,2025-09-24 19:55:33,3.0,Value for money,Stopped working after two weeks of use.,4.0,True
REV0015790,ORD0048517,CUST015681,PRD01342,2026-05-18 19:23:50,5.0,Value for money,Quality is decent for the price paid.,1.0,True
