product_id,product_name,category,subcategory,brand,unit_price_ghs,cost_price_ghs,launch_date,stock_quantity,avg_rating,is_active
PRD01369,Dell Laptop 774,Computing,Laptops,Dell,2042.34,1725.28,2024-02-21,586,4.41,True
PRD00169,Woodin Footwear 177,Fashion,Footwear,Unilever,559.58,464.09,2023-01-01,256,4.79,True
PRD00354,Tecno Furniture 288,Home & Kitchen,Furniture,Nasco,221.02,152.1,2024-12-23,334,3.47,True
PRD00469,Fan Milk Printer 508,Computing,Printers,Apple,496.97,325.07,2022-07-20,15,4.2,True
PRD01410,itel Haircare 990,Health & Beauty,Haircare,Unilever,553.08,343.15,2022-09-21,148,4.29,True
PRD01273,Midea Footwear 573,Fashion,Footwear,Generic,200.41,136.24,2024-05-05,207,3.63,True
PRD00060,Nasco Power Bank 276,Phones & Tablets,Power Banks,Unilever,1919.97,1230.34,2022-02-11,857,3.04,True
PRD00416,Nivea Small Appliance 709,Electronics,Small Appliances,Apple,127.46,112.07,2024-02-20,274,3.75,True
PRD00716,Samsung Monitor 229,Computing,Monitors,Generic,674.39,517.25,08/06/2024,272,3.91,True
PRD00355,Lenovo Men's Clothing 892,Fashion,Men's Clothing,Generic,872.5,480.95,2023-05-15,380,4.4,True
PRD00031,Woodin Snack 531,Groceries,Snacks,Puma,29.87,16.63,2022-08-28,271,,True
PRD01280,Tecno Furniture 829,Home & Kitchen,Furniture,Midea,1275.6,850.71,2022-05-11,571,4.02,False
PRD00859,Woodin Footwear 909,Fashion,Footwear,itel,428.27,322.76,24/11/2022,99,4.76,True
PRD01420,GTP Textbook 715,BOOKS & STATIONERY,Textbooks,HP,187.74,122.16,2022-07-28,34,4.47,False
PRD00652,Adidas Sportswear 125,Sports & Fitness,Sportswear,itel,37.48,32.82,11/09/2024,729,3.92,True
PRD01297,Fan Milk Tablet 847,Phones & Tablets,Tablets,Lenovo,4143.99,2564.22,"December 30, 2022",106,3.01,True
PRD00375,Woodin Printer 802,Computing,Printers,Nestle,8566.07,5471.35,07/11/2024,384,3.95,True
PRD00352,Apple Monitor 162,Computing,Monitors,itel,537.67,396.48,"February 10, 2023",858,4.21,True
PRD00862,Tecno Pantry 384,Groceries,Pantry,Puma,13.55,,17/04/2023,604,4.3,True
PRD00980,Unilever Printer 481,Computing,Printers,Dell,4321.83,2610.33,01/11/2023,380,5.0,True
PRD00959,itel Cookware 234,Home & Kitchen,Cookware,Nasco,2725.18,1808.61,2023-05-17,187,3.98,True
PRD01369,Dell Laptop 774,Computing,Laptops,Dell,2348.69,1725.28,2024-02-21,586,4.41,True
PRD00983,Nivea Snack 895,Groceries,Snacks,Woodin,108.22,60.14,2023-09-15,453,4.25,True
PRD00635,Lenovo Smartphone 574,Phones & Tablets,Smartphones,Lenovo,930.27,804.64,2024-05-15,576,,False
PRD00163,GTP Television 842,Electronics,Televisions,Fan Milk,282.59,181.85,2022-01-06,517,4.3,True
PRD00381,Generic Cleaning 327,Home & Kitchen,Cleaning,Hisense,822.07,453.31,2022-11-08,710,3.77,True
PRD00241,Tecno Baby Care 229,Baby Products,Baby Care,itel,GHS 292.24,173.84,2023-04-09,259,3.68,False
PRD00275,Dell Skincare 709,Health & Beauty,Skincare,Tecno,26.49,18.69,2022-05-18,790,4.28,True
PRD00262,Samsung Toy 268,Baby Products,,HP,48.96,37.16,2023-12-31,472,4.11,True
PRD00567,Nasco Household 928,Groceries,Household,Nasco,83.93,70.31,2024-09-17,405,4.6,True
PRD00788,Unilever Footwear 641,Fashion,Footwear,Nasco,649.82,571.64,2024-03-14,188,5.0,True
PRD00125,Lenovo Tablet 788,Phones & Tablets,Tablets,Midea,581.38,453.01,2022-05-26,328,4.33,True
PRD01008,Adidas Footwear 496,Fashion,Footwear,Adidas,473.96,354.49,2024-05-21,472,3.79,True
PRD00333,Nestle Haircare 356,Health & Beauty ,Haircare,Hisense,69.01,50.02,"October 07, 2024",395,4.76,False
PRD00590,Midea Phone Accessorie 262,Phones & Tablets,Phone Accessories,Nivea,2308.81,1995.1,2024-06-30,352,4.28,True
PRD00515,GTP Footwear 774,Fashion,Footwear,Fan Milk,61.13,41.45,2023-12-25,842,3.68,True
PRD00713,Hisense Diaper 926,Baby Products,Diapers,Woodin,194.87,100.05,2024-05-28,36,4.39,False
PRD00900,Nivea Cleaning 410,Home & Kitchen,Cleaning,Nestle,120.57,84.06,2023-11-28,875,3.04,True
PRD01484,Fan Milk Camera 955,Electronics,Cameras,Fan Milk,2451.86,1565.29,2022-05-04,171,,True
PRD00797,Unilever Phone Accessorie 918,Phones & Tablets,Phone Accessories,Kasapreko,3621.93,2268.12,2024-11-24,237,3.33,True
PRD00066,Tecno Cleaning 943,Home & Kitchen,Cleaning,Unilever,1666.08,1128.66,22/07/2023,375,4.61,True
PRD00142,Unilever Cleaning 273,Home & Kitchen,Cleaning,Tecno,2859.45,2136.85,2022-02-03,830,4.09,True
PRD00812,Infinix Phone Accessorie 804,Phones & Tablets,Phone Accessories,Kasapreko,4286.4,2775.09,2024-09-24,336,3.22,False
PRD00915,Dell Fiction 868,Books & Stationery,Fiction,GTP,110.65,82.98,2022-03-02,518,4.88,True
PRD00695,Nasco Outdoor 326,Sports & Fitness,Outdoor,Hisense,111.14,65.68,"July 13, 2022",416,3.67,True
PRD00863,Kasapreko Snack 591,Groceries,Snacks,Hisense,189.52,148.07,2023-02-21,768,3.94,True
PRD00248,itel Footwear 317,Fashion,Footwear,,GHS 53.82,30.42,2024-04-10,319,3.7,True
PRD01202,Puma Cookware 109,Home & Kitchen,Cookware,Midea,GHS 105.51,82.94,2022-10-28,690,3.66,True
PRD00353,Nasco Bedding 917,Home & Kitchen,Bedding,Tecno,36.46,29.65,2023-01-15,125,3.51,True
PRD00919,Dell Television 971,Electronics,Televisions,Nestle,414.24,240.91,2022-11-30,552,4.12,False
